id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
216299334,2010-11-16T09:37:44.000Z,piersmorgan,Piers Morgan,"'One day you're cock of the walk, the next a feather duster’ - Margot Barber. Pronouns: hot/hotter/hottest",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/NJKBsKlpfy"", ""expanded_url"": ""https://smarturl.it/WakeUpPbk"", ""display_url"": ""smarturl.it/WakeUpPbk""}]","London, Newick, LA.",1174245237004410880,https://pbs.twimg.com/profile_images/1530460470406176768/wqkXtUVw_normal.jpg,False,8306637,2111,17255,151478,https://t.co/NJKBsKlpfy,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1558561668204052485,2022-08-13T21:10:56.000Z,WokeArchive,Woke Archive,repository of woke garbage,,,,,,A Hill to Die On,1598038982474227713,https://pbs.twimg.com/profile_images/1595311407263784960/OjXocccL_normal.jpg,False,34653,999,90,413,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
87679233,2009-11-05T12:58:35.000Z,AlexBerenson,Alex Berenson,"Author of Tell Your Children and Pandemia. Back and better than ever. For more information, sign up for my Substack at https://t.co/ZWNQLVYt6l",,,,"[{""start"": 119, ""end"": 142, ""url"": ""https://t.co/ZWNQLVYt6l"", ""expanded_url"": ""http://alexberenson.substack.com"", ""display_url"": ""alexberenson.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/B75By8xZ7F"", ""expanded_url"": ""http://www.alexberenson.com"", ""display_url"": ""alexberenson.com""}]",New York,1603144383720587265,https://pbs.twimg.com/profile_images/1288215336618201088/L_qGJGkg_normal.jpg,False,430276,208,2604,20088,https://t.co/B75By8xZ7F,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1622716321,2013-07-26T11:03:38.000Z,SportmphMark,Mark Hughes,"F1 for Motor Sport magazine, https://t.co/Nu32tqsLno, https://t.co/byDAqbBKpp and SkyF1.",,,,"[{""start"": 29, ""end"": 52, ""url"": ""https://t.co/Nu32tqsLno"", ""expanded_url"": ""http://the-race.com"", ""display_url"": ""the-race.com""}, {""start"": 54, ""end"": 77, ""url"": ""https://t.co/byDAqbBKpp"", ""expanded_url"": ""http://F1.com"", ""display_url"": ""F1.com""}]",,,,https://pbs.twimg.com/profile_images/378800000190740762/14067e49c076920e182da141bd235f89_normal.jpeg,False,39664,409,1200,6987,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
61828115,2009-07-31T17:46:55.000Z,SharkWerks,"SharkWerks, Inc.","Porsche Performance warriors for GT3, GT2, GT4, RS, Turbo, 991, 997, Cayman, exhausts, engine, software, suspension, stuffings world-wide info@sharkwerks.com",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/yT44UUjJXM"", ""expanded_url"": ""http://sharkwerks.com"", ""display_url"": ""sharkwerks.com""}]","Fremont, California",,https://pbs.twimg.com/profile_images/578446449127469056/TTSLcxGR_normal.jpeg,False,8515,795,72,16753,https://t.co/yT44UUjJXM,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1361540720251658241,2021-02-16T04:59:49.000Z,sarahbeth345,Sarah Beth Burwick,"canadian expat | basic jewish mom | lawyer | writer | you think it, i'll say it.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/E3G8UWf7rb"", ""expanded_url"": ""https://sarahburwick.substack.com/"", ""display_url"": ""sarahburwick.substack.com""}]","Los Angeles, CA",1553892725107220480,https://pbs.twimg.com/profile_images/1600973577355874308/I1S28xam_normal.jpg,False,55224,2613,186,23793,https://t.co/E3G8UWf7rb,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
69008563,2009-08-26T15:19:37.000Z,F1,Formula 1,See you in 2023!,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/GumNgQuzik"", ""expanded_url"": ""https://www.F1.com"", ""display_url"": ""F1.com""}]",,,https://pbs.twimg.com/profile_images/1510909017996111880/Yj6olIie_normal.jpg,False,8886571,85,34132,78370,https://t.co/GumNgQuzik,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
358545917,2011-08-20T03:02:29.000Z,Cernovich,Cernovich,Mom blogger,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/1fljN80qQC"", ""expanded_url"": ""http://mikecernovich.substack.com"", ""display_url"": ""mikecernovich.substack.com""}]",,1603539857858473985,https://pbs.twimg.com/profile_images/1592236348890443776/S9Wff_5O_normal.jpg,False,1094022,3415,6170,194517,https://t.co/1fljN80qQC,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1927482656,2013-10-02T16:47:52.000Z,DrMJoyner,Michael Joyner,"Physiologist & anesthesiologist Interested in human performance, views my own. Posts & RTs do not = endorsement.",,,,,,,788127763609681922,https://pbs.twimg.com/profile_images/1466951236645752834/WUXEgSw-_normal.jpg,False,14493,497,348,38491,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
2886880469,2014-11-21T13:52:41.000Z,jenniferheisz,"Jennifer Heisz, PhD","Canada Research Chair in Brain Health and Aging. Associate Professor, McMaster. Author of Move the Body, Heal the Mind. She/her.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/hznDs1QFCh"", ""expanded_url"": ""http://www.neurofitlab.ca"", ""display_url"": ""neurofitlab.ca""}]","Hamilton, Ontario",1501214459477569540,https://pbs.twimg.com/profile_images/1498509831916957697/kG41Jlvg_normal.jpg,False,2258,1245,62,1931,https://t.co/hznDs1QFCh,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
