id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,,latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at
43405051,2009-05-29T20:41:41.000Z,jhuaap,JHU Advanced Academic Programs,AAP offers graduate degrees and certificate programs for working adults seeking professional enrichment. The flexibility you need. The excellence you expect.,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/vWyNvj1kdc"", ""expanded_url"": ""http://advanced.jhu.edu"", ""display_url"": ""advanced.jhu.edu""}]","Washington, DC",,https://pbs.twimg.com/profile_images/378800000828896408/70e7749455e9967adeaec2a513ce6ff5_normal.jpeg,False,2213,431,0,4829,https://t.co/vWyNvj1kdc,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1586781375889219584,2022-10-30T18:05:46.000Z,Warburg_Ye,Jiangbin Ye,"Cancer is a metabolic disease, so metabolic therapy should be the cure. This is the way.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/HnWZV9KDVz"", ""expanded_url"": ""https://med.stanford.edu/yelab.html"", ""display_url"": ""med.stanford.edu/yelab.html""}]","Stanford, CA",,https://pbs.twimg.com/profile_images/1586785681719775232/Fi0cDy-l_normal.jpg,False,75,85,0,18,https://t.co/HnWZV9KDVz,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
486267929,2012-02-08T03:27:58.000Z,EllenKuwana,"Ellen Kuwana, MS (she/her)","Founder, https://t.co/aOiYA8Plr6: 72,000+ frontline workers fed. Donations tax deductible. Freelance science writer, editor, lecturer. Pres., NW Science Writers.",,,,"[{""start"": 9, ""end"": 32, ""url"": ""https://t.co/aOiYA8Plr6"", ""expanded_url"": ""http://WeGotThisSeattle.org"", ""display_url"": ""WeGotThisSeattle.org""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Ml19dYtFzK"", ""expanded_url"": ""http://ellenkuwana.com"", ""display_url"": ""ellenkuwana.com""}]","Seattle, WA",1599926397082161152,https://pbs.twimg.com/profile_images/1282604549040005120/j0dC3amn_normal.jpg,False,2871,4995,128,34471,https://t.co/Ml19dYtFzK,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,56.443554,-141.84227,312.0,"Wed, 07 Dec 2022 00:00:00 GMT",40990730.0,0.85570985,-0.054162264,,2812.0,3141.0,0.0,"Thu, 28 Jul 2022 14:25:42 GMT",,312.0,Science Journalism,"Thu, 28 Jul 2022 14:25:42 GMT"
486267929,2012-02-08T03:27:58.000Z,EllenKuwana,"Ellen Kuwana, MS (she/her)","Founder, https://t.co/aOiYA8Plr6: 72,000+ frontline workers fed. Donations tax deductible. Freelance science writer, editor, lecturer. Pres., NW Science Writers.",,,,"[{""start"": 9, ""end"": 32, ""url"": ""https://t.co/aOiYA8Plr6"", ""expanded_url"": ""http://WeGotThisSeattle.org"", ""display_url"": ""WeGotThisSeattle.org""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Ml19dYtFzK"", ""expanded_url"": ""http://ellenkuwana.com"", ""display_url"": ""ellenkuwana.com""}]","Seattle, WA",1599926397082161152,https://pbs.twimg.com/profile_images/1282604549040005120/j0dC3amn_normal.jpg,False,2871,4995,128,34471,https://t.co/Ml19dYtFzK,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,7.494559,-60.86109,323.0,"Wed, 07 Dec 2022 00:00:00 GMT",41016944.0,0.70846,-0.16971797,,3179.0,4357.0,0.0,"Thu, 28 Jul 2022 14:25:43 GMT",,323.0,Science Policy,"Thu, 28 Jul 2022 14:25:43 GMT"
1432353924930052101,2021-08-30T14:46:22.000Z,Dr_RGolubic,Rajna Golubic,"Clinical lecturer endocrinology&diabetes;@OCDEM,@Gates_Cambridge Alumna; passionate about research on treatment of diabetes and related metabolic disorders",,,"[{""start"": 41, ""end"": 47, ""username"": ""OCDEM""}, {""start"": 48, ""end"": 64, ""username"": ""Gates_Cambridge""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/4NU9BLYlwq"", ""expanded_url"": ""https://www.rdm.ox.ac.uk/about/our-divisions/oxford-centre-for-diabetes-endocrinology-and-metabolism"", ""display_url"": ""rdm.ox.ac.uk/about/our-divi\u2026""}]",Oxford,,https://pbs.twimg.com/profile_images/1432354182388932611/eIsb3Ss8_normal.jpg,False,731,2062,4,994,https://t.co/4NU9BLYlwq,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1591511114076012546,2022-11-12T19:20:14.000Z,HiJeffEmmerson,Jeff Emmerson,"Co-author of 'Beyond ADHD' (@RLPGBooks), working on my emotional roller-coaster of a #memoir. Grateful human being who refuses to give up.",,"[{""start"": 85, ""end"": 92, ""tag"": ""memoir""}]","[{""start"": 28, ""end"": 38, ""username"": ""RLPGBooks""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/tWlFRdNDZn"", ""expanded_url"": ""https://mastodon.world/@JeffEmmerson"", ""display_url"": ""mastodon.world/@JeffEmmerson""}]","Ontario, Canada",1592152039768965121,https://pbs.twimg.com/profile_images/1591511203448344577/9HbygOYk_normal.jpg,False,486,815,1,391,https://t.co/tWlFRdNDZn,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1547026437005365253,2022-07-13T01:14:04.000Z,RichardAAnders5,Richard A. Anderson,"Cell biologist, studying signaling from membranes to nuclei, partner and father of two incredible children, restoring native prairies. Tweets = my view",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/s2KAcKHugE"", ""expanded_url"": ""https://anderson.research.labs.wisc.edu/"", ""display_url"": ""anderson.research.labs.wisc.edu""}]",University of Wisconsin-Mad,,https://pbs.twimg.com/profile_images/1558161609998143488/oTDBLKpd_normal.jpg,False,1717,4996,0,65,https://t.co/s2KAcKHugE,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
807702512044244993,2016-12-10T21:44:20.000Z,nik_kudiersky,Nik Kudiersky,Doctoral Researcher @SHU_SPARC\n🔍 Aerobic exercise & mobilisation early after stroke ▫️MSc Clinical Exercise Physiology▫️BSc Sports Science▫️Retired ⚽ player,,,"[{""start"": 20, ""end"": 30, ""username"": ""SHU_SPARC""}]",,,"Sheffield, England",,https://pbs.twimg.com/profile_images/1542526030581272576/dSEJzrCL_normal.jpg,False,529,2016,1,722,,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
193133274,2010-09-21T01:43:50.000Z,lowcarblefty,Archimandrite,"Fascinated by dysfunctional science, so lots on health and nutrition, occasionally economics. Trying to bring back text-based emojis (prefer Spivak pronouns)",,,,,,,1565658455171633152,https://pbs.twimg.com/profile_images/1312533538076528641/KbnHhhFE_normal.jpg,False,530,1492,5,15103,,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,5.377172,0.0,375.0,"Wed, 07 Dec 2022 00:00:00 GMT",40143267.0,0.78440267,0.0,,4184.0,5311.0,0.0,"Fri, 02 Dec 2022 15:37:10 GMT",,375.0,Biohacking,"Fri, 02 Dec 2022 15:37:10 GMT"
145823222,2010-05-19T23:54:50.000Z,meganrechin,Megan Rechin,"I am a human that likes to read with books, write with pens, shoot things with a camera, knit things with yarn and cook with potatoes.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Pv01GIYwWe"", ""expanded_url"": ""http://meganrechin.com"", ""display_url"": ""meganrechin.com""}]","Buffalo, NY",,https://pbs.twimg.com/profile_images/1368534715/41229_1581511702443_1375200073_1537382_4117482_n_normal.jpg,False,146,321,3,336,https://t.co/Pv01GIYwWe,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1239736580840910848,2020-03-17T02:13:41.000Z,daniemillerSLP,carnivore-ish 🍳🥩🍗🍣🍤🥗🥦,"Regained my health- lost 75 pounds by eating the proper human diet. Salt over sugar! Your mind is like a parachute, it only works if it’s open.” - Frank Zappa",,,,,,,1509526403057815554,https://pbs.twimg.com/profile_images/1557459623086460928/WIrHmby5_normal.jpg,False,390,587,2,758,,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
3283034203,2015-07-18T04:09:44.000Z,drjessica17,Jessica Koehler,Ph.D. Homeschooling Mama 🐻 of @PolymathAlex & Max 👬 💍 @ckoehler8 💞 ✍️ @PsychToday 🧠 Nature Lover 🏔🌳🌸 Picture Taker 📷 Psychology Instructor 👩🏻‍💻,,,"[{""start"": 30, ""end"": 43, ""username"": ""PolymathAlex""}, {""start"": 54, ""end"": 64, ""username"": ""ckoehler8""}, {""start"": 70, ""end"": 81, ""username"": ""PsychToday""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/UuevbKh5Aj"", ""expanded_url"": ""https://koehleracademy.com/"", ""display_url"": ""koehleracademy.com""}]",UT 🏔 AZ 🌵,1433840495076143111,https://pbs.twimg.com/profile_images/1583287460821286912/lkTsyKB5_normal.jpg,False,15350,13539,110,18274,https://t.co/UuevbKh5Aj,False,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,135.74644,-109.723755,124.0,"Wed, 07 Dec 2022 00:00:00 GMT",41061027.0,0.9436269,-0.025885522,,2602.0,2742.0,0.0,"Tue, 24 May 2022 10:47:51 GMT",,124.0,Writingcommunity,"Tue, 24 May 2022 10:47:51 GMT"
468520528,2012-01-19T16:41:58.000Z,AshaniTW,Ashi_W,"Chair, @JHSPHBMB. Advocate women/POC in STEM. Wife, mother. Opinions (lots!) mine. She/her. Author: Is Cancer Inevitable? https://t.co/3qWFIzOCEv 🇱🇸🇱🇰",,,"[{""start"": 7, ""end"": 16, ""username"": ""JHSPHBMB""}]","[{""start"": 122, ""end"": 145, ""url"": ""https://t.co/3qWFIzOCEv"", ""expanded_url"": ""https://tinyurl.com/dkk5hnfj"", ""display_url"": ""tinyurl.com/dkk5hnfj""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/O8aHNz2l9r"", ""expanded_url"": ""https://www.jhsph.edu/departments/biochemistry-and-molecular-biology/about"", ""display_url"": ""jhsph.edu/departments/bi\u2026""}]","Johns Hopkins, Baltimore",827687735993446400,https://pbs.twimg.com/profile_images/952739144677187584/YW76UE2T_normal.jpg,False,10623,2483,56,14499,https://t.co/O8aHNz2l9r,True,,,,2022-12-16T15:00:36+00:00,https://api.twitter.com/2/users/2749156190/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,50.156296,0.0,80.0,"Wed, 07 Dec 2022 00:00:00 GMT",41291990.0,0.76111525,0.0,,2217.0,2559.0,0.0,"Wed, 30 Mar 2022 14:31:09 GMT",,80.0,Virology,"Wed, 30 Mar 2022 14:31:09 GMT"
