id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
25406814,2009-03-19T23:15:47.000Z,aashaysanghvi_,Aashay Sanghvi,"Software, technology. Seed & early stage @haystackvc.",,,"[{""start"": 41, ""end"": 52, ""username"": ""haystackvc""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Dy3NDamMis"", ""expanded_url"": ""http://aashaysanghvi.com"", ""display_url"": ""aashaysanghvi.com""}]",NYC,,https://pbs.twimg.com/profile_images/1577048914183786504/5u_rva5T_normal.jpg,False,10965,1865,272,7926,https://t.co/Dy3NDamMis,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1276920555409735684,2020-06-27T16:49:29.000Z,jack24dd30,jack,locked myself in a room doing five tweets a day for three summers,,,,,,,1430941246646886401,https://pbs.twimg.com/profile_images/1600847073812926466/Y1vnf55A_normal.jpg,False,1475,819,10,3645,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1480032787373690885,2022-01-09T04:25:34.000Z,paleonormie,Pnørm,Wobegonian 🇳🇴🇸🇪🇺🇸,,,,,,Lefse Belt,,https://pbs.twimg.com/profile_images/1492160880636674048/jZu3I9GL_normal.jpg,False,843,856,1,7207,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
942916652,2012-11-12T06:04:09.000Z,brdjx,₿rdjx.eth,Building SoundMint,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/1K2WfEJYVU"", ""expanded_url"": ""https://soundmint.com"", ""display_url"": ""soundmint.com""}]","U.P., MI",,https://pbs.twimg.com/profile_images/1597480329006256130/Ijj7TAJv_normal.jpg,False,1055,51,9,548,https://t.co/1K2WfEJYVU,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
14562285,2008-04-27T22:13:28.000Z,zachcoelius,Zach Coelius,Hopelessly addicted entrepreneur. Currently investing in other great entrepreneurs.\n\nMy User Manual: https://t.co/ZXuXKij7k6\nRolling Fund: https://t.co/xTWKHJJODL,,,,"[{""start"": 101, ""end"": 124, ""url"": ""https://t.co/ZXuXKij7k6"", ""expanded_url"": ""https://bit.ly/2XSJycP"", ""display_url"": ""bit.ly/2XSJycP""}, {""start"": 139, ""end"": 162, ""url"": ""https://t.co/xTWKHJJODL"", ""expanded_url"": ""http://angel.co/v/l/VplrI"", ""display_url"": ""angel.co/v/l/VplrI""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/KytSidgpZw"", ""expanded_url"": ""https://www.linkedin.com/in/zachcoelius"", ""display_url"": ""linkedin.com/in/zachcoelius""}]",San Francisco,,https://pbs.twimg.com/profile_images/1777002568/launch_pad_picture_normal.jpg,False,21748,2968,512,14793,https://t.co/KytSidgpZw,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
2455740283,2014-04-21T00:28:42.000Z,MrBeast,MrBeast,I want to make the world a better place before I die,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/34hIUViVI7"", ""expanded_url"": ""https://shopmrbeast.com"", ""display_url"": ""shopmrbeast.com""}]",Follow me for a cookie,1552735248026411010,https://pbs.twimg.com/profile_images/994592419705274369/RLplF55e_normal.jpg,False,16500008,1855,4736,5940,https://t.co/34hIUViVI7,True,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
3796408126,2015-09-27T20:22:45.000Z,jaminball,Jamin Ball,Partner at Altimeter // Investing predominantly in software businesses from Series B through IPO. Dad to 3 beautiful little girls. No investment advice,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Z7NsH4idmH"", ""expanded_url"": ""https://cloudedjudgement.substack.com/"", ""display_url"": ""cloudedjudgement.substack.com""}]","San Francisco, CA",1273624256744652800,https://pbs.twimg.com/profile_images/1346111891618189312/SQzYMMst_normal.jpg,False,60599,951,1502,4242,https://t.co/Z7NsH4idmH,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
3840,2006-08-05T23:31:27.000Z,Jason,@jason,"World's Greatest Moderator (TM), Angel investor: https://t.co/6leeScky9Y @twistartups @theallinpod @launch @inside",,,"[{""start"": 73, ""end"": 85, ""username"": ""twistartups""}, {""start"": 86, ""end"": 98, ""username"": ""theallinpod""}, {""start"": 99, ""end"": 106, ""username"": ""launch""}, {""start"": 107, ""end"": 114, ""username"": ""inside""}]","[{""start"": 49, ""end"": 72, ""url"": ""https://t.co/6leeScky9Y"", ""expanded_url"": ""http://thesyndicate.com"", ""display_url"": ""thesyndicate.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/BYgX1pPNek"", ""expanded_url"": ""http://inside.com/p/jason"", ""display_url"": ""inside.com/p/jason""}]","California, USA",,https://pbs.twimg.com/profile_images/1483572454979031040/HZgTqHjX_normal.jpg,False,641297,25658,14886,43227,https://t.co/BYgX1pPNek,True,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1577107131920261120,2022-10-04T01:23:43.000Z,plemy11,Lemy,humble data plumber,,,,,,New England ,1595928576280231937,https://pbs.twimg.com/profile_images/1601049885352009730/10fE1eH7_normal.jpg,False,622,229,4,1678,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
289548939,2011-04-28T21:03:26.000Z,bariweiss,Bari Weiss,Founder and Editor of The Free Press. @thefp,,,"[{""start"": 38, ""end"": 44, ""username"": ""thefp""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/IEpcmBykJQ"", ""expanded_url"": ""http://thefp.com"", ""display_url"": ""thefp.com""}]",,1602364197194432515,https://pbs.twimg.com/profile_images/1360808590999650307/XlQ7X1Mr_normal.jpg,False,939741,3947,4152,13204,https://t.co/IEpcmBykJQ,True,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
