id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
1595449136501116930,2022-11-23T16:08:23.000Z,ZZZRecruiting,ZZZ Recruiting,"Executive Recruiter | Sourcing Enthusiast | Sharing my thoughts on sourcing, recruiting, and interviewing.          LI: https://t.co/VwQnU4dBfl",,,,"[{""start"": 120, ""end"": 143, ""url"": ""https://t.co/VwQnU4dBfl"", ""expanded_url"": ""http://linkedin.com/in/jonathan-hakanson"", ""display_url"": ""linkedin.com/in/jonathan-ha\u2026""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/r421sj4yYj"", ""expanded_url"": ""http://linktr.ee/zzzrecruiting"", ""display_url"": ""linktr.ee/zzzrecruiting""}]","Seattle, WA",1595496052416983041,https://pbs.twimg.com/profile_images/1595468099087921158/eJZ7I6jQ_normal.jpg,False,230,977,0,302,https://t.co/r421sj4yYj,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
39289455,2009-05-11T16:57:34.000Z,alliekmiller,Allie K. Miller,"Machine Learning, Startups, Venture Capital. Nat’l AAAS Ambassador. 1MM+ followers. Former Amazon, IBM. Investing in better AI & Web3 🤖",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/sFrDEMG9oF"", ""expanded_url"": ""https://linktr.ee/alliekmiller"", ""display_url"": ""linktr.ee/alliekmiller""}]",Road trip,1545429147505262593,https://pbs.twimg.com/profile_images/1221821474790494208/ALX9y7KT_normal.jpg,False,27651,2221,604,5849,https://t.co/sFrDEMG9oF,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
241292324,2011-01-21T22:39:52.000Z,adolfodoval,AD,futbol,,,,,,,447377047200227328,https://pbs.twimg.com/profile_images/1477851613591134209/1nGoW0PN_normal.jpg,True,265,353,5,6333,,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1320156402996944901,2020-10-25T00:13:15.000Z,ericzhu105,Eric Zhu,15 years old | Co-Founder @joinaviato | Investor @BachmanityFund 💫,,,"[{""start"": 26, ""end"": 37, ""username"": ""joinaviato""}, {""start"": 49, ""end"": 64, ""username"": ""BachmanityFund""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/npIAoEEObZ"", ""expanded_url"": ""https://ericzhu.co/"", ""display_url"": ""ericzhu.co""}]",High School Bathroom,1597246407546908679,https://pbs.twimg.com/profile_images/1597586875987988486/6wR28tzF_normal.jpg,False,8325,963,63,3074,https://t.co/npIAoEEObZ,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
738806853379993600,2016-06-03T18:57:35.000Z,IsaacMarks68,Isaac Marks,"Soviet immigrant,cynic, lover of recruiting as a service, hoping to become Elon's staffing partner and a partridge and a pear tree.",,,,,,"New York, USA",,https://pbs.twimg.com/profile_images/892541024366505984/lyzl6C4b_normal.jpg,False,183,974,5,2817,,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1577241403,2013-07-08T09:31:59.000Z,levelsio,@levelsio,👦Indiepreneur\n\n📸https://t.co/iUsye8czuL\n👨‍🎤https://t.co/Zhz2Y4cSsX\n🖼https://t.co/1oqUgfD6CZ\n🏡https://t.co/vNKLuLUzFS\n\n🌍https://t.co/BjTozWAXwG\n🛰https://t.co/ZHSvI2wjyW\n📍https://t.co/IOpzT0gaNO\n🧔https://t.co/pUsWw9AIMT\n\nMy book 👉https://t.co/IFRqZDK2Lw,,,,"[{""start"": 16, ""end"": 39, ""url"": ""https://t.co/iUsye8czuL"", ""expanded_url"": ""http://PhotoAI.io"", ""display_url"": ""PhotoAI.io""}, {""start"": 43, ""end"": 66, ""url"": ""https://t.co/Zhz2Y4cSsX"", ""expanded_url"": ""http://AvatarAI.me"", ""display_url"": ""AvatarAI.me""}, {""start"": 68, ""end"": 91, ""url"": ""https://t.co/1oqUgfD6CZ"", ""expanded_url"": ""http://InteriorAI.com"", ""display_url"": ""InteriorAI.com""}, {""start"": 93, ""end"": 116, ""url"": ""https://t.co/vNKLuLUzFS"", ""expanded_url"": ""http://THDNE.com"", ""display_url"": ""THDNE.com""}, {""start"": 119, ""end"": 142, ""url"": ""https://t.co/BjTozWAXwG"", ""expanded_url"": ""http://NomadList.com"", ""display_url"": ""NomadList.com""}, {""start"": 144, ""end"": 167, ""url"": ""https://t.co/ZHSvI2wjyW"", ""expanded_url"": ""http://RemoteOK.com"", ""display_url"": ""RemoteOK.com""}, {""start"": 169, ""end"": 192, ""url"": ""https://t.co/IOpzT0gaNO"", ""expanded_url"": ""http://reBase.co"", ""display_url"": ""reBase.co""}, {""start"": 194, ""end"": 217, ""url"": ""https://t.co/pUsWw9AIMT"", ""expanded_url"": ""http://HoodMaps.com"", ""display_url"": ""HoodMaps.com""}, {""start"": 228, ""end"": 251, ""url"": ""https://t.co/IFRqZDK2Lw"", ""expanded_url"": ""http://readMAKE.com"", ""display_url"": ""readMAKE.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/jtdvkAnss4"", ""expanded_url"": ""http://wip.co/@levelsio"", ""display_url"": ""wip.co/@levelsio""}]",,1457315274466594817,https://pbs.twimg.com/profile_images/1589756412078555136/YlXMBzhp_normal.jpg,False,211883,629,3327,105154,https://t.co/jtdvkAnss4,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
349347318,2011-08-05T23:38:41.000Z,PeterAttiaMD,Peter Attia,"MD focused on the science of longevity.\nObsessed w/ JMA, OMA, RFA, AVA, archery, racing cars, Senna, DFW, rapamycin. I'm trying not to be an ultracrepidarian.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/6iA9OcZM1S"", ""expanded_url"": ""https://linktr.ee/thedrivepodcast/"", ""display_url"": ""linktr.ee/thedrivepodcas\u2026""}]","Austin, TX",1598365839123746831,https://pbs.twimg.com/profile_images/1136482364085825536/3UjI25yP_normal.png,False,272515,133,3407,8441,https://t.co/6iA9OcZM1S,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1452731296757727236,2021-10-25T20:18:38.000Z,CrptoRecruiter,The Crypto Recruiter,"Unapologetically in love with recruiting and crypto. Hiring or hunting, I’m your girl! #web3jobs",,"[{""start"": 87, ""end"": 96, ""tag"": ""web3jobs""}]",,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/ZtOND8zuPX"", ""expanded_url"": ""https://linktr.ee/landontop"", ""display_url"": ""linktr.ee/landontop""}]","Chicago, IL ",,https://pbs.twimg.com/profile_images/1590125133494206464/NCfHgGpL_normal.jpg,False,688,535,18,672,https://t.co/ZtOND8zuPX,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1516109341404766212,2022-04-18T17:40:22.000Z,Contora_,Contora.ai,Improve your crypto trading by using alternative data about cryptocurrencies and tokens,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/VcnUTLabjL"", ""expanded_url"": ""http://contora.ai"", ""display_url"": ""contora.ai""}]","San Francisco, CA",,https://pbs.twimg.com/profile_images/1521839877968564224/BrWTllYQ_normal.jpg,False,231,62,5,62,https://t.co/VcnUTLabjL,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1384932733,2013-04-27T16:44:10.000Z,0xGokce,Gökçe 🌊 | gokceguven.eth,Founder @kalderworld | Building Brands 3.0 | prev early @OpenSea @CeloOrg @RobinhoodApp | @CalBlockchain | generative artifacts @ggenerative,,,"[{""start"": 8, ""end"": 20, ""username"": ""kalderworld""}, {""start"": 56, ""end"": 64, ""username"": ""OpenSea""}, {""start"": 65, ""end"": 73, ""username"": ""CeloOrg""}, {""start"": 74, ""end"": 87, ""username"": ""RobinhoodApp""}, {""start"": 90, ""end"": 104, ""username"": ""CalBlockchain""}, {""start"": 128, ""end"": 140, ""username"": ""ggenerative""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/hzmrhfpMsm"", ""expanded_url"": ""http://kalder.app"", ""display_url"": ""kalder.app""}]",,1547295263403884544,https://pbs.twimg.com/profile_images/1594152300905320449/1tnwQnJZ_normal.jpg,False,3066,876,23,428,https://t.co/hzmrhfpMsm,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
