latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,Unnamed: 26
4.1.0,9.219166,0.0,346.0,"Wed, 07 Dec 2022 00:00:00 GMT",39823667.0,0.71573544,0.0,,1505.0,1685.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,346.0,Effective Altruism,"Fri, 02 Dec 2022 15:37:08 GMT",378114947,2011-09-22T17:24:32.000Z,blisstweeting,Phil F******k,increasingly alive 🌪️ https://t.co/zFGKC4FPvj,,,,"[{""start"": 22, ""end"": 45, ""url"": ""https://t.co/zFGKC4FPvj"", ""expanded_url"": ""http://unstableorbits.substack.com"", ""display_url"": ""unstableorbits.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cAAOfVEw9V"", ""expanded_url"": ""http://crtr.link/s/blisstweeting"", ""display_url"": ""crtr.link/s/blisstweeting""}]",ΛSCEND,1.5149451405483786e+18,https://pbs.twimg.com/profile_images/1567485688391540737/TI5HJCs__normal.jpg,False,1680,255,78,18890,https://t.co/cAAOfVEw9V,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,3.5802772,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39894783.0,0.7605622,0.0,,2128.0,2593.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",378114947,2011-09-22T17:24:32.000Z,blisstweeting,Phil F******k,increasingly alive 🌪️ https://t.co/zFGKC4FPvj,,,,"[{""start"": 22, ""end"": 45, ""url"": ""https://t.co/zFGKC4FPvj"", ""expanded_url"": ""http://unstableorbits.substack.com"", ""display_url"": ""unstableorbits.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cAAOfVEw9V"", ""expanded_url"": ""http://crtr.link/s/blisstweeting"", ""display_url"": ""crtr.link/s/blisstweeting""}]",ΛSCEND,1.5149451405483786e+18,https://pbs.twimg.com/profile_images/1567485688391540737/TI5HJCs__normal.jpg,False,1680,255,78,18890,https://t.co/cAAOfVEw9V,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,8.943746,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39942751.0,0.81686985,0.0,,1820.0,2143.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",378114947,2011-09-22T17:24:32.000Z,blisstweeting,Phil F******k,increasingly alive 🌪️ https://t.co/zFGKC4FPvj,,,,"[{""start"": 22, ""end"": 45, ""url"": ""https://t.co/zFGKC4FPvj"", ""expanded_url"": ""http://unstableorbits.substack.com"", ""display_url"": ""unstableorbits.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cAAOfVEw9V"", ""expanded_url"": ""http://crtr.link/s/blisstweeting"", ""display_url"": ""crtr.link/s/blisstweeting""}]",ΛSCEND,1.5149451405483786e+18,https://pbs.twimg.com/profile_images/1567485688391540737/TI5HJCs__normal.jpg,False,1680,255,78,18890,https://t.co/cAAOfVEw9V,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,24.294275,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40808297.0,0.43611032,0.0,,4790.0,6003.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT",771970414155182081,2016-09-03T07:17:44.000Z,realGeorgeHotz,George Hotz 🐀,President @comma_ai. Founder https://t.co/xCz9sMUkif. Intern @Twitter,,,"[{""start"": 10, ""end"": 19, ""username"": ""comma_ai""}, {""start"": 61, ""end"": 69, ""username"": ""Twitter""}]","[{""start"": 29, ""end"": 52, ""url"": ""https://t.co/xCz9sMUkif"", ""expanded_url"": ""http://tinygrad.org"", ""display_url"": ""tinygrad.org""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/jjCk5yWXey"", ""expanded_url"": ""http://1m2019.com/"", ""display_url"": ""1m2019.com""}]","San Diego, CA",,https://pbs.twimg.com/profile_images/772342671721455616/FE79-7Ev_normal.jpg,False,142210,105,788,1105,https://t.co/jjCk5yWXey,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,8.378507,0.0,7799179296.0,"Wed, 07 Dec 2022 00:00:00 GMT",40983292.0,0.37328276,0.0,,4837.0,5291.0,0.0,"Fri, 27 Aug 2021 15:14:17 GMT",,7799179296.0,YC,"Fri, 27 Aug 2021 15:14:17 GMT",771970414155182081,2016-09-03T07:17:44.000Z,realGeorgeHotz,George Hotz 🐀,President @comma_ai. Founder https://t.co/xCz9sMUkif. Intern @Twitter,,,"[{""start"": 10, ""end"": 19, ""username"": ""comma_ai""}, {""start"": 61, ""end"": 69, ""username"": ""Twitter""}]","[{""start"": 29, ""end"": 52, ""url"": ""https://t.co/xCz9sMUkif"", ""expanded_url"": ""http://tinygrad.org"", ""display_url"": ""tinygrad.org""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/jjCk5yWXey"", ""expanded_url"": ""http://1m2019.com/"", ""display_url"": ""1m2019.com""}]","San Diego, CA",,https://pbs.twimg.com/profile_images/772342671721455616/FE79-7Ev_normal.jpg,False,142210,105,788,1105,https://t.co/jjCk5yWXey,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,81.858284,0.0,340.0,"Wed, 07 Dec 2022 00:00:00 GMT",39714220.0,0.36526328,0.0,,242.0,314.0,0.012522193,"Fri, 02 Dec 2022 15:37:08 GMT",,340.0,Autonomous Vehicles,"Fri, 02 Dec 2022 15:37:08 GMT",771970414155182081,2016-09-03T07:17:44.000Z,realGeorgeHotz,George Hotz 🐀,President @comma_ai. Founder https://t.co/xCz9sMUkif. Intern @Twitter,,,"[{""start"": 10, ""end"": 19, ""username"": ""comma_ai""}, {""start"": 61, ""end"": 69, ""username"": ""Twitter""}]","[{""start"": 29, ""end"": 52, ""url"": ""https://t.co/xCz9sMUkif"", ""expanded_url"": ""http://tinygrad.org"", ""display_url"": ""tinygrad.org""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/jjCk5yWXey"", ""expanded_url"": ""http://1m2019.com/"", ""display_url"": ""1m2019.com""}]","San Diego, CA",,https://pbs.twimg.com/profile_images/772342671721455616/FE79-7Ev_normal.jpg,False,142210,105,788,1105,https://t.co/jjCk5yWXey,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,2.910239,0.0,116.0,"Wed, 07 Dec 2022 00:00:00 GMT",40108885.0,0.6541561,0.0,,16101.0,18037.0,0.0,"Tue, 24 May 2022 10:46:14 GMT",,116.0,Venture Capital,"Tue, 24 May 2022 10:46:14 GMT",2628093857,2014-06-21T09:40:04.000Z,apagajewski,Alex Gajewski,building a new search engine @metaphorsystems,,,"[{""start"": 29, ""end"": 45, ""username"": ""metaphorsystems""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/VSPCLUv17q"", ""expanded_url"": ""https://metaphor.systems"", ""display_url"": ""metaphor.systems""}]",San Francisco,,https://pbs.twimg.com/profile_images/1387488328895930368/EiqYr-ta_normal.jpg,False,1037,566,17,12,https://t.co/VSPCLUv17q,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,5.024147,1.6914604,243.0,"Wed, 07 Dec 2022 00:00:00 GMT",41254821.0,0.81502384,-0.012770593,,5737.0,6409.0,0.0,"Thu, 28 Jul 2022 14:25:40 GMT",,243.0,Machine Learning,"Thu, 28 Jul 2022 14:25:40 GMT",2628093857,2014-06-21T09:40:04.000Z,apagajewski,Alex Gajewski,building a new search engine @metaphorsystems,,,"[{""start"": 29, ""end"": 45, ""username"": ""metaphorsystems""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/VSPCLUv17q"", ""expanded_url"": ""https://metaphor.systems"", ""display_url"": ""metaphor.systems""}]",San Francisco,,https://pbs.twimg.com/profile_images/1387488328895930368/EiqYr-ta_normal.jpg,False,1037,566,17,12,https://t.co/VSPCLUv17q,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,1.3966213,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39895237.0,0.8491018,0.0,,2509.0,3047.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",2628093857,2014-06-21T09:40:04.000Z,apagajewski,Alex Gajewski,building a new search engine @metaphorsystems,,,"[{""start"": 29, ""end"": 45, ""username"": ""metaphorsystems""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/VSPCLUv17q"", ""expanded_url"": ""https://metaphor.systems"", ""display_url"": ""metaphor.systems""}]",San Francisco,,https://pbs.twimg.com/profile_images/1387488328895930368/EiqYr-ta_normal.jpg,False,1037,566,17,12,https://t.co/VSPCLUv17q,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,46.573174,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39941778.0,0.90234417,0.0,,1007.0,1170.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",1257104506439041024,2020-05-04T00:27:34.000Z,leahprime,Leah (Prime) 🦊 (24/100),"complex systems, ethical tech, emergent phenomenology, infinite games ✨ DMs open for new friends 🙏❤️ pfp by @meekaale • overachieving alt @leahcomplex",,,"[{""start"": 108, ""end"": 117, ""username"": ""meekaale""}, {""start"": 138, ""end"": 150, ""username"": ""leahcomplex""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Q6q68OqqfT"", ""expanded_url"": ""https://leahprime.substack.com"", ""display_url"": ""leahprime.substack.com""}]",@leahprime@masto.ai ,1.5838632414739538e+18,https://pbs.twimg.com/profile_images/1596952765628039169/nJ_BHPV9_normal.jpg,False,2412,854,23,4148,https://t.co/Q6q68OqqfT,False,,,,2022-12-15T18:58:17+00:00,https://api.twitter.com/2/users/803693608419422209/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
