id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,,latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at
108505970,2010-01-26T04:19:00.000Z,cumputervillain,nat,software engineer (big girl job). Bio-hacker (figuring out how to have the best orgasms). Empath (manipulator). Jack of all trades (con-artist).,,,,,,nyc,1599122300900888576,https://pbs.twimg.com/profile_images/1600704387659309056/ersl2pXh_normal.jpg,False,1667,516,137,75372,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
850213440,2012-09-28T00:54:05.000Z,mattdsegal,Matt,Aspiring lich king @ Centre for Responsible Necromancy | cool and normal\n\nlinks @ https://t.co/SnFBIxc7I8\ndev blog @ https://t.co/k8H0FVNjoZ,,,,"[{""start"": 82, ""end"": 105, ""url"": ""https://t.co/SnFBIxc7I8"", ""expanded_url"": ""http://mattslinks.xyz"", ""display_url"": ""mattslinks.xyz""}, {""start"": 117, ""end"": 140, ""url"": ""https://t.co/k8H0FVNjoZ"", ""expanded_url"": ""http://mattsegal.dev"", ""display_url"": ""mattsegal.dev""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/TTRPx70wrY"", ""expanded_url"": ""https://mattslinks.xyz/"", ""display_url"": ""mattslinks.xyz""}]","Melbourne, Australia",1598090570471477251,https://pbs.twimg.com/profile_images/1595929199642284033/sdVbteg7_normal.jpg,False,424,944,10,8176,https://t.co/TTRPx70wrY,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1587708037439311872,2022-11-02T07:28:02.000Z,lilyofvale,Lily,lonely thoughts,,,,,,,,https://pbs.twimg.com/profile_images/1600410784831393793/pn5T9hZF_normal.jpg,False,17,74,1,178,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1601010584228593664,2022-12-09T00:27:32.000Z,LilAmethyst0,"💎🌊Reformed Akira, Righteous Amethyst",I have had my ego stripped; I am reborn in the gemstone. Those who wish to live as I do will follow my path; those that don't may do as they wish. Glory be.,,,,,,Holodeck; Castle Noir,1603060217486643201,https://pbs.twimg.com/profile_images/1603155144383815681/ffBfss0-_normal.jpg,False,19,116,1,777,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1478489041574281216,2022-01-04T22:10:41.000Z,twinemoatmath,Twine Moat Math,Serial late adopter,,,,,,,,https://pbs.twimg.com/profile_images/1480633430152937473/jkRr1ZOl_normal.jpg,False,19,223,0,125,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1528890098112049152,2022-05-24T00:06:45.000Z,bio_bootloader,BioBootloader,"Building AGI at work, building kids at home. Neovim addict. Top 0.09% on Project Euler",,,,,,California,1600928218059456513,https://pbs.twimg.com/profile_images/1601605603025002496/a3LfqPPU_normal.jpg,False,387,684,3,889,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1366824868893712389,2021-03-02T18:57:15.000Z,EsterhazyII,☦️ Esterhazy II,☦️ | Orthobro |\nDMs open to hear about my journey from protestantism to Orthodoxy or prayer requests | Holy Royal Martyrs Stan account |,,,,,,,,https://pbs.twimg.com/profile_images/1511922969643155458/eLIRjOKK_normal.jpg,False,1700,1408,8,4173,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
1463078597627985920,2021-11-23T09:35:05.000Z,Kathi_Hermann,Katharina,"On a long retreat. Prev. Intersection of Meditation and Psychoanalysis @UniWH. Interested in Metamodern monasteries, Rob Burbea’s Dharma, jhāna and emptiness.",,,"[{""start"": 71, ""end"": 77, ""username"": ""UniWH""}]",,,Berlin,1534266000912396288,https://pbs.twimg.com/profile_images/1567475160978018307/BRpjzZJf_normal.jpg,False,477,489,3,95,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,,,,,,,,,,,,,,,,,
4444141695,2015-12-11T03:21:05.000Z,literalbanana,Science Banana,"director of science programming for the Abstract Noun Abuse Prevention Task Force, a project of the Union of Concerned Anthropomorphic Fruit",,,,,,,1222516132759793664,https://pbs.twimg.com/profile_images/1349707732404690946/qykZNsVj_normal.jpg,False,12025,537,245,21045,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,8.440422,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40816042.0,0.39822608,0.0,,10687.0,13748.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT"
4444141695,2015-12-11T03:21:05.000Z,literalbanana,Science Banana,"director of science programming for the Abstract Noun Abuse Prevention Task Force, a project of the Union of Concerned Anthropomorphic Fruit",,,,,,,1222516132759793664,https://pbs.twimg.com/profile_images/1349707732404690946/qykZNsVj_normal.jpg,False,12025,537,245,21045,,False,,,,2022-12-16T03:06:06+00:00,https://api.twitter.com/2/users/1498093561736151041/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,,4.1.0,85.24899,0.0,346.0,"Wed, 07 Dec 2022 00:00:00 GMT",39822391.0,0.80074155,0.0,,354.0,409.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,346.0,Effective Altruism,"Fri, 02 Dec 2022 15:37:08 GMT"
